cpu_percent,cpu_freq,cpu_temp,load_avg_1min,load_avg_5min,load_avg_15min,ram_total,ram_used,ram_percent,swap_total,swap_used,swap_percent,gpu_memory,gpu_temp,gpu_freq,gpu_busy,power_state,disk_read,disk_write,net_sent,net_recv,process_count,context_switches,timestamp
6.1,2400.0,57.85,0.6748046875,0.8125,0.54833984375,8439283712,1442840576,21.0,209698816,0,0.0,8,58.2,910.010752,0.0,0,1269019136,943691264,3860605,296221253,223,2282138,2024-11-25 13:25:57
12.5,2400.0,58.4,0.6748046875,0.8125,0.54833984375,8439283712,1443332096,21.0,209698816,0,0.0,8,58.2,910.007424,0.0,0,1269019136,943691264,3860605,296221253,223,2282387,2024-11-25 13:25:57
0.0,2400.0,58.95,0.6748046875,0.8125,0.54833984375,8439283712,1443332096,21.0,209698816,0,0.0,8,59.3,910.007424,0.0,0,1269019136,943691264,3860605,296221253,223,2282526,2024-11-25 13:25:57
2.1,2400.0,57.85,0.6748046875,0.8125,0.54833984375,8439283712,1443332096,21.0,209698816,0,0.0,8,58.2,910.014016,0.0,0,1269019136,943691264,3860605,296221295,223,2282664,2024-11-25 13:25:57
0.0,2400.0,58.95,0.6748046875,0.8125,0.54833984375,8439283712,1443332096,21.0,209698816,0,0.0,8,59.3,910.010752,0.0,0,1269019136,943691264,3860605,296221379,223,2282800,2024-11-25 13:25:57
0.0,2400.0,58.95,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,59.3,910.010752,0.0,0,1269019136,943691264,3860605,296221379,223,2282909,2024-11-25 13:25:57
2.1,2400.0,58.4,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,58.7,910.007424,0.0,0,1269019136,943691264,3860605,296221463,223,2283072,2024-11-25 13:25:57
2.1,2400.0,58.95,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,58.7,910.007424,0.0,0,1269019136,943691264,3860605,296221547,223,2283226,2024-11-25 13:25:58
2.1,2400.0,58.4,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,58.7,910.014016,0.0,0,1269019136,943691264,3860605,296221589,223,2283382,2024-11-25 13:25:58
2.1,2400.0,57.85,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,58.2,910.007424,0.0,0,1269019136,943691264,3860605,296221673,223,2283526,2024-11-25 13:25:58
0.0,2400.0,57.85,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,58.7,910.007424,0.0,0,1269019136,943691264,3860605,296221673,223,2283687,2024-11-25 13:25:58
0.0,2400.0,58.4,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,59.3,910.007424,0.0,0,1269019136,943691264,3860605,296221715,223,2283819,2024-11-25 13:25:58
2.1,2400.0,57.85,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,58.2,910.010752,0.0,0,1269019136,943691264,3860605,296221715,223,2283926,2024-11-25 13:25:58
0.0,2400.0,58.4,0.6748046875,0.8125,0.54833984375,8439283712,1443151872,21.0,209698816,0,0.0,8,59.3,910.010752,0.0,0,1269019136,943691264,3860605,296221715,223,2284021,2024-11-25 13:25:58
