cpu_percent,cpu_freq,cpu_temp,load_avg_1min,load_avg_5min,load_avg_15min,ram_total,ram_used,ram_percent,swap_total,swap_used,swap_percent,gpu_memory,gpu_temp,gpu_freq,gpu_busy,power_state,disk_read,disk_write,net_sent,net_recv,process_count,context_switches,timestamp
20.0,2400.0,67.75,1.564453125,1.07763671875,0.72265625,8439283712,1528037376,22.5,209698816,0,0.0,8,66.4,910.010752,0.0,0,1622618624,1074550272,3892035,296420262,226,5500362,2024-11-25 13:31:23
4.2,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1529741312,22.6,209698816,0,0.0,8,67.0,910.010752,0.0,0,1622618624,1074550272,3892167,296423263,226,5500741,2024-11-25 13:31:23
0.0,2400.0,67.2,1.564453125,1.07763671875,0.72265625,8439283712,1529987072,22.6,209698816,0,0.0,8,67.5,910.014016,0.0,0,1622618624,1074550272,3892167,296423305,226,5500887,2024-11-25 13:31:24
0.0,2400.0,66.65,1.564453125,1.07763671875,0.72265625,8439283712,1529987072,22.6,209698816,0,0.0,8,67.0,910.007424,0.0,0,1622618624,1074550272,3892167,296423305,226,5501002,2024-11-25 13:31:24
0.0,2400.0,66.65,1.564453125,1.07763671875,0.72265625,8439283712,1529987072,22.6,209698816,0,0.0,8,67.0,910.014016,0.0,0,1622618624,1074550272,3892167,296423389,226,5501157,2024-11-25 13:31:24
0.0,2400.0,66.65,1.564453125,1.07763671875,0.72265625,8439283712,1529987072,22.6,209698816,0,0.0,8,67.0,910.010752,0.0,0,1622618624,1074550272,3892167,296423389,226,5501258,2024-11-25 13:31:24
6.2,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1531232256,22.6,209698816,0,0.0,8,66.4,910.007424,0.0,0,1622618624,1074550272,3892167,296423473,227,5501649,2024-11-25 13:31:24
0.0,2400.0,65.0,1.564453125,1.07763671875,0.72265625,8439283712,1531723776,22.6,209698816,0,0.0,8,65.3,910.010752,0.0,0,1622618624,1074550272,3892167,296423515,227,5501797,2024-11-25 13:31:24
0.0,2400.0,65.0,1.564453125,1.07763671875,0.72265625,8439283712,1529151488,22.5,209698816,0,0.0,8,66.4,910.007424,0.0,0,1622618624,1074550272,3892167,296423599,227,5501990,2024-11-25 13:31:24
2.2,2400.0,65.0,1.564453125,1.07763671875,0.72265625,8439283712,1529151488,22.5,209698816,0,0.0,8,65.9,910.010752,0.0,0,1622618624,1074550272,3892167,296423599,227,5502249,2024-11-25 13:31:24
2.1,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1528397824,22.5,209698816,0,0.0,8,66.4,910.007424,0.0,0,1622618624,1074550272,3892167,296423641,227,5502381,2024-11-25 13:31:25
2.1,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1528643584,22.5,209698816,0,0.0,8,66.4,910.010752,0.0,0,1622618624,1074550272,3892167,296423767,227,5502565,2024-11-25 13:31:25
0.0,2400.0,65.55,1.564453125,1.07763671875,0.72265625,8439283712,1528643584,22.5,209698816,0,0.0,8,65.9,910.007424,0.0,0,1622618624,1074550272,3892167,296423893,227,5502738,2024-11-25 13:31:25
0.0,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1528643584,22.5,209698816,0,0.0,8,66.4,910.010752,0.0,0,1622618624,1074550272,3892167,296423977,227,5502920,2024-11-25 13:31:25
2.1,2400.0,65.55,1.564453125,1.07763671875,0.72265625,8439283712,1528643584,22.5,209698816,0,0.0,8,65.9,910.007424,0.0,0,1622618624,1074550272,3892167,296424019,227,5503052,2024-11-25 13:31:25
2.1,2400.0,65.55,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,67.0,910.010752,0.0,0,1622618624,1074550272,3892167,296424061,227,5503191,2024-11-25 13:31:25
8.5,2400.0,64.45,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,64.8,910.007424,0.0,0,1622618624,1074550272,3892167,296424061,227,5503377,2024-11-25 13:31:25
0.0,2400.0,67.2,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,65.9,910.010752,0.0,0,1622618624,1074550272,3892167,296424103,227,5503637,2024-11-25 13:31:25
2.1,2400.0,65.55,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,65.9,910.014016,0.0,0,1622618624,1074550272,3892167,296424103,227,5503765,2024-11-25 13:31:25
0.0,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,66.4,910.010752,0.0,0,1622618624,1074550272,3892167,296424103,227,5503870,2024-11-25 13:31:26
2.1,2400.0,66.1,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,66.4,910.014016,0.0,0,1622618624,1074550272,3892167,296424145,227,5504000,2024-11-25 13:31:26
2.1,2400.0,65.0,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,65.9,910.007424,0.0,0,1622618624,1074550272,3892167,296424229,227,5504157,2024-11-25 13:31:26
2.1,2400.0,65.0,1.564453125,1.07763671875,0.72265625,8439283712,1530871808,22.5,209698816,0,0.0,8,65.3,910.010752,0.0,0,1622618624,1074550272,3892167,296424229,227,5504255,2024-11-25 13:31:26
0.0,2400.0,65.55,1.564453125,1.07763671875,0.72265625,8439283712,1532051456,22.5,209698816,0,0.0,8,65.9,910.007424,0.0,0,1622618624,1074550272,3892167,296424229,227,5504363,2024-11-25 13:31:26
2.1,2400.0,65.55,1.564453125,1.07763671875,0.72265625,8439283712,1532051456,22.5,209698816,0,0.0,8,65.9,910.014016,0.0,0,1622618624,1074550272,3892167,296424313,227,5504515,2024-11-25 13:31:26
2.1,2400.0,65.0,1.564453125,1.07763671875,0.72265625,8439283712,1531559936,22.5,209698816,0,0.0,8,65.3,910.010752,0.0,0,1622618624,1074550272,3892167,296424313,227,5504632,2024-11-25 13:31:26
2.1,2400.0,65.0,1.43896484375,1.0595703125,0.71875,8439283712,1531559936,22.5,209698816,0,0.0,8,65.3,910.014016,0.0,0,1622618624,1074550272,3892167,296424355,227,5504791,2024-11-25 13:31:26
0.0,2400.0,65.55,1.43896484375,1.0595703125,0.71875,8439283712,1531559936,22.5,209698816,0,0.0,8,65.9,910.010752,0.0,0,1622618624,1074550272,3892167,296424397,227,5504914,2024-11-25 13:31:27
2.1,2400.0,64.45,1.43896484375,1.0595703125,0.71875,8439283712,1531805696,22.5,209698816,0,0.0,8,64.8,910.014016,0.0,0,1622618624,1074550272,3892167,296424397,227,5505030,2024-11-25 13:31:27
0.0,2400.0,65.0,1.43896484375,1.0595703125,0.71875,8439283712,1531805696,22.5,209698816,0,0.0,8,65.3,910.007424,0.0,0,1622618624,1074550272,3892167,296424439,227,5505156,2024-11-25 13:31:27
0.0,2400.0,65.0,1.43896484375,1.0595703125,0.71875,8439283712,1531805696,22.5,209698816,0,0.0,8,65.3,910.010752,0.0,0,1622618624,1074550272,3892167,296424565,227,5505315,2024-11-25 13:31:27
2.1,2400.0,66.1,1.43896484375,1.0595703125,0.71875,8439283712,1525235712,22.4,209698816,0,0.0,8,66.4,910.007424,0.0,0,1622618624,1074550272,3892167,296424607,227,5505440,2024-11-25 13:31:27
0.0,1600.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1525235712,22.4,209698816,0,0.0,8,65.3,545.563456,0.0,0,1622618624,1074550272,3892167,296424649,227,5505591,2024-11-25 13:31:27
4.0,1500.0,65.0,1.43896484375,1.0595703125,0.71875,8439283712,1525235712,22.4,209698816,0,0.0,8,65.3,500.007584,0.0,0,1622618624,1074550272,3892167,296424691,227,5505741,2024-11-25 13:31:27
0.0,1500.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1525235712,22.4,209698816,0,0.0,8,64.2,500.004288,0.0,0,1622618624,1074550272,3892167,296424691,227,5505850,2024-11-25 13:31:27
2.0,1500.0,64.45,1.43896484375,1.0595703125,0.71875,8439283712,1525235712,22.4,209698816,0,0.0,8,64.8,500.007584,0.0,0,1622618624,1074550272,3892167,296424817,227,5506015,2024-11-25 13:31:28
0.0,1500.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1524727808,22.4,209698816,0,0.0,8,64.2,500.004288,0.0,0,1622618624,1074603520,3892167,296424901,227,5506183,2024-11-25 13:31:28
4.1,1500.0,65.0,1.43896484375,1.0595703125,0.71875,8439283712,1521041408,22.4,209698816,0,0.0,8,63.7,500.004288,0.0,0,1622618624,1074603520,3892167,296424943,226,5506342,2024-11-25 13:31:28
2.0,1500.0,64.45,1.43896484375,1.0595703125,0.71875,8439283712,1521287168,22.4,209698816,0,0.0,8,64.2,500.007584,0.0,0,1622618624,1074603520,3892167,296424985,226,5506489,2024-11-25 13:31:28
0.0,1500.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1521778688,22.4,209698816,0,0.0,8,64.2,500.007584,0.0,0,1622618624,1074603520,3892167,296424985,226,5506583,2024-11-25 13:31:28
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1521958912,22.3,209698816,0,0.0,8,64.2,500.007584,0.0,0,1622618624,1074603520,3892167,296424985,226,5506694,2024-11-25 13:31:28
0.0,1500.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,64.2,500.007584,0.0,0,1622618624,1074603520,3892167,296425069,226,5506844,2024-11-25 13:31:28
0.0,1500.0,64.45,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425153,226,5507014,2024-11-25 13:31:28
4.1,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,64.8,500.007584,0.0,0,1622618624,1074603520,3892167,296425153,226,5507145,2024-11-25 13:31:28
0.0,1500.0,64.45,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425153,226,5507248,2024-11-25 13:31:29
2.0,1500.0,65.0,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425237,226,5507418,2024-11-25 13:31:29
0.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425237,226,5507535,2024-11-25 13:31:29
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425237,226,5507624,2024-11-25 13:31:29
0.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425237,226,5507733,2024-11-25 13:31:29
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,62.6,500.007584,0.0,0,1622618624,1074603520,3892167,296425237,226,5507811,2024-11-25 13:31:29
2.1,1500.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425279,226,5507936,2024-11-25 13:31:29
0.0,1500.0,63.9,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,65.3,500.007584,0.0,0,1622618624,1074603520,3892167,296425279,226,5508013,2024-11-25 13:31:29
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425363,226,5508127,2024-11-25 13:31:30
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.004288,0.0,0,1622618624,1074603520,3892167,296425405,226,5508247,2024-11-25 13:31:30
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425405,226,5508332,2024-11-25 13:31:30
0.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425489,226,5508467,2024-11-25 13:31:30
2.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425489,226,5508540,2024-11-25 13:31:30
2.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425489,226,5508625,2024-11-25 13:31:30
0.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425615,226,5508778,2024-11-25 13:31:30
0.0,1500.0,62.25,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425615,226,5508873,2024-11-25 13:31:30
2.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425615,226,5508955,2024-11-25 13:31:31
0.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,62.0,500.007584,0.0,0,1622618624,1074603520,3892167,296425657,226,5509069,2024-11-25 13:31:31
0.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522204672,22.3,209698816,0,0.0,8,62.6,500.007584,0.0,0,1622618624,1074603520,3892167,296425699,226,5509180,2024-11-25 13:31:31
2.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1522450432,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425825,226,5509305,2024-11-25 13:31:31
4.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1521713152,22.3,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425867,226,5509416,2024-11-25 13:31:31
0.0,1500.0,63.35,1.43896484375,1.0595703125,0.71875,8439283712,1521713152,22.3,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074603520,3892167,296425867,226,5509487,2024-11-25 13:31:31
0.0,1500.0,62.8,1.43896484375,1.0595703125,0.71875,8439283712,1521713152,22.3,209698816,0,0.0,8,62.6,500.007584,0.0,0,1622618624,1074603520,3892167,296425867,226,5509572,2024-11-25 13:31:31
4.0,1500.0,63.35,1.484375,1.0751953125,0.72607421875,8439283712,1521713152,22.3,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296425867,226,5509866,2024-11-25 13:31:31
2.0,1500.0,63.35,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,63.7,500.007584,0.0,0,1622618624,1074603520,3892167,296425993,226,5510079,2024-11-25 13:31:32
4.0,1500.0,61.7,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074603520,3892167,296426161,226,5510247,2024-11-25 13:31:32
0.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,63.1,500.007584,0.0,0,1622618624,1074603520,3892167,296426161,226,5510374,2024-11-25 13:31:32
0.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074603520,3892167,296426203,226,5510525,2024-11-25 13:31:32
2.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074603520,3892167,296426245,226,5510651,2024-11-25 13:31:32
2.1,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074603520,3892167,296426245,226,5510753,2024-11-25 13:31:32
0.0,1500.0,61.7,1.484375,1.0751953125,0.72607421875,8439283712,1521106944,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074603520,3892167,296426245,226,5510848,2024-11-25 13:31:32
2.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520730112,22.2,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074603520,3892167,296426329,226,5511018,2024-11-25 13:31:32
2.1,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520730112,22.2,209698816,0,0.0,8,62.6,500.004288,0.0,0,1622618624,1074603520,3892167,296426329,226,5511125,2024-11-25 13:31:32
2.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520730112,22.2,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074603520,3892167,296426329,226,5511220,2024-11-25 13:31:33
0.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520730112,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074603520,3892167,296426329,226,5511324,2024-11-25 13:31:33
0.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520713728,22.2,209698816,0,0.0,8,62.6,500.004288,0.0,0,1622618624,1074615808,3892167,296426455,226,5511522,2024-11-25 13:31:33
4.1,1500.0,61.7,1.484375,1.0751953125,0.72607421875,8439283712,1520713728,22.2,209698816,0,0.0,8,62.0,500.007584,0.0,0,1622618624,1074615808,3892167,296426497,226,5511640,2024-11-25 13:31:33
0.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520713728,22.2,209698816,0,0.0,8,63.1,500.000992,0.0,0,1622618624,1074615808,3892167,296426581,226,5511807,2024-11-25 13:31:33
0.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520713728,22.2,209698816,0,0.0,8,62.6,500.004288,0.0,0,1622618624,1074615808,3892167,296426581,226,5511909,2024-11-25 13:31:33
2.1,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520713728,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074615808,3892167,296426581,226,5512026,2024-11-25 13:31:33
2.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,61.5,500.004288,0.0,0,1622618624,1074660864,3892167,296426665,226,5512221,2024-11-25 13:31:33
0.0,1500.0,61.15,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074660864,3892167,296426707,226,5512344,2024-11-25 13:31:34
2.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,63.1,500.000992,0.0,0,1622618624,1074660864,3892167,296426707,226,5512462,2024-11-25 13:31:34
0.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074660864,3892167,296426749,226,5512603,2024-11-25 13:31:34
2.0,1500.0,61.7,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074660864,3892167,296426791,226,5512742,2024-11-25 13:31:34
0.0,1500.0,62.8,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,63.1,500.004288,0.0,0,1622618624,1074660864,3892167,296426833,226,5512863,2024-11-25 13:31:34
0.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520697344,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074660864,3892167,296426959,226,5513016,2024-11-25 13:31:34
4.0,1500.0,62.25,1.484375,1.0751953125,0.72607421875,8439283712,1520680960,22.2,209698816,0,0.0,8,62.0,500.004288,0.0,0,1622618624,1074660864,3892167,296427001,226,5513149,2024-11-25 13:31:34
