cpu_percent,cpu_freq,cpu_temp,load_avg_1min,load_avg_5min,load_avg_15min,ram_total,ram_used,ram_percent,swap_total,swap_used,swap_percent,gpu_memory,gpu_temp,gpu_freq,gpu_busy,power_state,disk_read,disk_write,net_sent,net_recv,process_count,context_switches,timestamp
9.1,1500.0,59.5,1.0771484375,0.92822265625,0.65869140625,8439283712,1521352704,22.1,209698816,0,0.0,8,59.3,500.007584,0.0,0,1622618624,1005782528,3888076,296401285,226,3313554,2024-11-25 13:30:41
61.5,2400.0,60.6,1.0771484375,0.92822265625,0.65869140625,8439283712,1536704512,22.3,209698816,0,0.0,8,61.5,910.010752,0.0,0,1622618624,1005782528,3888076,296401369,226,3313815,2024-11-25 13:30:41
61.5,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1591001088,22.9,209698816,0,0.0,8,62.6,910.007424,0.0,0,1622618624,1005782528,3888076,296401411,226,3313988,2024-11-25 13:30:42
59.6,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1613922304,23.2,209698816,0,0.0,8,62.6,910.010752,0.0,0,1622618624,1005782528,3888076,296401579,226,3314150,2024-11-25 13:30:42
52.1,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1621786624,23.3,209698816,0,0.0,8,62.6,910.014016,0.0,0,1622618624,1005782528,3888076,296401579,226,3314273,2024-11-25 13:30:42
50.0,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1629896704,23.4,209698816,0,0.0,8,62.6,910.010752,0.0,0,1622618624,1005782528,3888076,296401663,226,3314475,2024-11-25 13:30:42
51.0,2400.0,63.35,1.0771484375,0.92822265625,0.65869140625,8439283712,1680031744,24.0,209698816,0,0.0,8,63.1,910.007424,0.0,0,1622618624,1005782528,3888076,296401747,226,3314627,2024-11-25 13:30:42
59.6,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1675575296,23.9,209698816,0,0.0,8,62.6,910.007424,0.0,0,1622618624,1005782528,3888076,296401747,228,3314785,2024-11-25 13:30:42
63.0,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1730379776,24.6,209698816,0,0.0,8,60.9,910.007424,0.0,0,1622618624,1005782528,3888076,296401789,228,3314960,2024-11-25 13:30:42
61.7,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1757233152,24.9,209698816,0,0.0,8,61.5,910.010752,0.0,0,1622618624,1005782528,3888076,296401831,228,3315092,2024-11-25 13:30:42
52.1,2400.0,62.8,1.0771484375,0.92822265625,0.65869140625,8439283712,1764360192,25.0,209698816,0,0.0,8,63.1,910.010752,0.0,0,1622618624,1005782528,3888076,296401957,228,3315252,2024-11-25 13:30:43
51.0,2400.0,63.35,1.0771484375,0.92822265625,0.65869140625,8439283712,1770520576,25.1,209698816,0,0.0,8,62.6,910.014016,0.0,0,1622618624,1005782528,3888076,296401999,228,3315421,2024-11-25 13:30:43
51.1,2400.0,63.9,1.0771484375,0.92822265625,0.65869140625,8439283712,1807613952,25.5,209698816,0,0.0,8,63.1,910.007424,0.0,0,1622618624,1005782528,3888076,296401999,228,3315538,2024-11-25 13:30:43
24.5,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1803288576,25.5,209698816,0,0.0,8,62.6,910.010752,0.0,0,1622618624,1005782528,3888200,296402073,228,3315732,2024-11-25 13:30:43
0.0,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1804025856,25.5,209698816,0,0.0,8,62.6,910.007424,0.0,0,1622618624,1005782528,3888200,296402073,228,3315843,2024-11-25 13:30:43
0.0,2400.0,62.8,1.0771484375,0.92822265625,0.65869140625,8439283712,1804025856,25.5,209698816,0,0.0,8,62.0,910.014016,0.0,0,1622618624,1005782528,3888200,296402115,228,3315993,2024-11-25 13:30:43
0.0,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1804025856,25.5,209698816,0,0.0,8,62.0,910.010752,0.0,0,1622618624,1005782528,3888200,296402157,228,3316139,2024-11-25 13:30:43
10.4,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1843593216,25.9,209698816,0,0.0,8,62.6,910.014016,0.0,0,1622618624,1005782528,3888200,296402283,228,3316504,2024-11-25 13:30:43
5.9,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1855897600,26.1,209698816,0,0.0,8,62.6,910.007424,0.0,0,1622618624,1005782528,3888200,296402283,228,3316614,2024-11-25 13:30:44
0.0,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1855897600,26.1,209698816,0,0.0,8,62.0,910.014016,0.0,0,1622618624,1005782528,3888200,296402409,228,3316808,2024-11-25 13:30:44
2.1,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1855897600,26.1,209698816,0,0.0,8,62.0,910.007424,0.0,0,1622618624,1005782528,3888200,296402493,228,3317005,2024-11-25 13:30:44
2.1,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1855897600,26.1,209698816,0,0.0,8,61.5,910.010752,0.0,0,1622618624,1005782528,3888200,296402535,228,3317148,2024-11-25 13:30:44
2.1,2400.0,62.8,1.0771484375,0.92822265625,0.65869140625,8439283712,1855897600,26.1,209698816,0,0.0,8,63.1,910.010752,0.0,0,1622618624,1005782528,3888200,296402619,228,3317317,2024-11-25 13:30:44
0.0,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1855897600,26.1,209698816,0,0.0,8,62.6,910.010752,0.0,0,1622618624,1005782528,3888200,296402619,228,3317421,2024-11-25 13:30:44
6.2,2400.0,60.6,1.0771484375,0.92822265625,0.65869140625,8439283712,1857388544,26.1,209698816,0,0.0,8,60.9,910.010752,0.0,0,1622618624,1005782528,3888200,296402661,229,3317629,2024-11-25 13:30:44
0.0,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1857650688,26.1,209698816,0,0.0,8,61.5,910.010752,0.0,0,1622618624,1005782528,3888200,296402787,229,3317869,2024-11-25 13:30:44
2.1,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,60.4,910.007424,0.0,0,1622618624,1005782528,3888200,296402829,229,3318028,2024-11-25 13:30:44
2.1,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,62.0,910.007424,0.0,0,1622618624,1005782528,3888200,296402829,229,3318159,2024-11-25 13:30:45
0.0,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,62.0,910.010752,0.0,0,1622618624,1005782528,3888200,296402871,229,3318315,2024-11-25 13:30:45
0.0,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,62.6,910.014016,0.0,0,1622618624,1005782528,3888200,296402913,229,3318480,2024-11-25 13:30:45
2.1,2400.0,62.25,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,60.9,910.007424,0.0,0,1622618624,1005782528,3888200,296402955,229,3318646,2024-11-25 13:30:45
2.1,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,61.5,910.010752,0.0,0,1622618624,1005782528,3888200,296402997,229,3318820,2024-11-25 13:30:45
0.0,2400.0,60.6,1.0771484375,0.92822265625,0.65869140625,8439283712,1857896448,26.1,209698816,0,0.0,8,62.0,910.010752,0.0,0,1622618624,1005782528,3888200,296402997,229,3318978,2024-11-25 13:30:45
6.4,2400.0,60.6,1.0771484375,0.92822265625,0.65869140625,8439283712,1834860544,25.8,209698816,0,0.0,8,62.0,910.007424,0.0,0,1622618624,1009976832,3888200,296402997,229,3320059,2024-11-25 13:30:45
22.9,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1864466432,26.2,209698816,0,0.0,8,62.6,910.007424,0.0,0,1622618624,1019676160,3888200,296402997,229,3320399,2024-11-25 13:30:45
0.0,2400.0,61.7,1.0771484375,0.92822265625,0.65869140625,8439283712,1864466432,26.2,209698816,0,0.0,8,62.0,910.014016,0.0,0,1622618624,1029375488,3888200,296402997,229,3320652,2024-11-25 13:30:46
2.1,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1864728576,26.2,209698816,0,0.0,8,62.6,910.014016,0.0,0,1622618624,1037764096,3888200,296403039,229,3320924,2024-11-25 13:30:46
2.1,2400.0,61.15,1.0771484375,0.92822265625,0.65869140625,8439283712,1865252864,26.2,209698816,0,0.0,8,62.6,910.010752,0.0,0,1622618624,1047463424,3888200,296403123,229,3321159,2024-11-25 13:30:46
